@relation f1_2021_data_v2

@attribute round {'1','2','3','4','5','6','7','8','9','10','11','12','13','14','15','16','17','18','19','20','21','22'}
@attribute circuit_id {'bahrain','imola','portimao','catalunya','monaco','baku','ricard', 'red_bull_ring','silverstone','hungaroring','spa','zandvoort','monza'}
@attribute weather_warm {'TRUE','FALSE'}
@attribute weather_cold {'TRUE','FALSE'}
@attribute weather_dry {'TRUE','FALSE'}
@attribute weather_wet {'TRUE','FALSE'}
@attribute weather_cloudy {'TRUE','FALSE'}
@attribute driver {'hamilton', 'verstappen','ricciardo','bottas','perez','norris','leclerc','sainz','gasly','tsunoda','mazepin','mick_schumacher','vettel','giovinazzi','latifi','russell','ocon','raikkonen','stroll','alonso','kubica'}
@attribute nationality {'british','dutch','finnish','monegasque','french','australian','mexican','spanish','canadian','italian','japanese','german','russian','polish'}
@attribute constructor {'red_bull','mercedes','ferrari','mclaren','alpine','aston_martin','alfa_romeo','alphatauri','williams','haas'}
@attribute grid {'1','2','3','4','5','6','7','8','9','10','11','12','13','14','15','16','17','18','19','20'}
@attribute driver_points numeric
@attribute driver_wins {'0','1','2','3','4','5','6','7','8','9','10','11','12','13','14','15','16','17','18','19','20','21','22'}
@attribute driver_standings_pos {'0','1','2','3','4','5','6','7','8','9','10','11','12','13','14','15','16','17','18','19','20','21'}
@attribute constructor_points numeric
@attribute constructor_wins {'0','1','2','3','4','5','6','7','8','9','10','11','12','13','14','15','16','17','18','19','20','21','22'}
@attribute constructor_standings_pos {'0','1','2','3','4','5','6','7','8','9','10','11','12','13','14','15','16','17','18','19','20'}
@attribute qualifying_time numeric
@attribute driver_age numeric
@attribute points_finish {'podium','points','no_points'}

@data
4,catalunya,FALSE,FALSE,FALSE,FALSE,TRUE,tsunoda,japanese,alphatauri,16,2,0,13,9,0,6,1.89999999999999,20,no_points
4,catalunya,FALSE,FALSE,FALSE,FALSE,TRUE,raikkonen,finnish,alfa_romeo,17,0,0,14,0,0,8,2.2,41,no_points
4,catalunya,FALSE,FALSE,FALSE,FALSE,TRUE,mick_schumacher,german,haas,18,0,0,18,0,0,10,2.39999999999999,22,no_points
4,catalunya,FALSE,FALSE,FALSE,FALSE,TRUE,latifi,canadian,williams,19,0,0,20,0,0,9,2.5,25,no_points
4,catalunya,FALSE,FALSE,FALSE,FALSE,TRUE,mazepin,russian,haas,20,0,0,19,0,0,10,3.09999999999999,22,no_points

5,monaco,TRUE,FALSE,FALSE,FALSE,FALSE,leclerc,monegasque,ferrari,1,40,0,5,60,0,4,0.0,23,no_points
5,monaco,TRUE,FALSE,FALSE,FALSE,FALSE,verstappen,dutch,red_bull,2,80,1,2,112,1,2,0.299999999999997,23,podium
5,monaco,TRUE,FALSE,FALSE,FALSE,FALSE,bottas,finnish,mercedes,3,47,0,3,141,3,1,0.299999999999997,31,no_points
5,monaco,TRUE,FALSE,FALSE,FALSE,FALSE,sainz,spanish,ferrari,4,20,0,8,60,0,4,0.299999999999997,26,podium
5,monaco,TRUE,FALSE,FALSE,FALSE,FALSE,norris,british,mclaren,5,41,0,4,65,0,3,0.299999999999997,21,podium
5,monaco,TRUE,FALSE,FALSE,FALSE,FALSE,gasly,french,alphatauri,6,8,0,10,10,0,6,0.600000000000009,25,points
5,monaco,TRUE,FALSE,FALSE,FALSE,FALSE,hamilton,british,mercedes,7,94,3,1,141,3,1,0.799999999999997,36,points
5,monaco,TRUE,FALSE,FALSE,FALSE,FALSE,vettel,german,aston_martin,8,0,0,16,5,0,7,1.10000000000001,33,points
5,monaco,TRUE,FALSE,FALSE,FALSE,FALSE,perez,mexican,red_bull,9,32,0,6,112,1,2,1.3,31,points
5,monaco,TRUE,FALSE,FALSE,FALSE,FALSE,giovinazzi,italian,alfa_romeo,10,0,0,15,0,0,8,1.5,27,points
5,monaco,TRUE,FALSE,FALSE,FALSE,FALSE,ocon,french,alpine,11,10,0,9,15,0,5,1.2,24,points
5,monaco,TRUE,FALSE,FALSE,FALSE,FALSE,ricciardo,australian,mclaren,12,24,0,7,65,0,3,1.3,31,no_points
5,monaco,TRUE,FALSE,FALSE,FALSE,FALSE,stroll,canadian,aston_martin,13,5,0,11,5,0,7,1.3,22,points
5,monaco,TRUE,FALSE,FALSE,FALSE,FALSE,raikkonen,finnish,alfa_romeo,14,0,0,14,0,0,8,1.3,41,no_points
5,monaco,TRUE,FALSE,FALSE,FALSE,FALSE,russell,british,williams,15,0,0,17,0,0,9,1.5,23,no_points
5,monaco,TRUE,FALSE,FALSE,FALSE,FALSE,tsunoda,japanese,alphatauri,16,2,0,13,10,0,6,1.8,21,no_points
5,monaco,TRUE,FALSE,FALSE,FALSE,FALSE,alonso,spanish,alpine,17,5,0,12,15,0,5,1.90000000000001,39,no_points
5,monaco,TRUE,FALSE,FALSE,FALSE,FALSE,latifi,canadian,williams,18,0,0,19,0,0,9,2.10000000000001,25,no_points
5,monaco,TRUE,FALSE,FALSE,FALSE,FALSE,mazepin,russian,haas,19,0,0,20,0,0,10,2.7,22,no_points

6,baku,TRUE,FALSE,FALSE,FALSE,FALSE,leclerc,monegasque,ferrari,1,40,0,6,78,0,4,0.0,23,points
6,baku,TRUE,FALSE,FALSE,FALSE,FALSE,hamilton,british,mercedes,2,101,3,2,148,3,2,0.299999999999997,36,no_points
6,baku,TRUE,FALSE,FALSE,FALSE,FALSE,verstappen,dutch,red_bull,3,105,2,1,149,2,1,0.399999999999992,23,no_points
6,baku,TRUE,FALSE,FALSE,FALSE,FALSE,gasly,french,alphatauri,4,16,0,9,18,0,6,0.399999999999992,25,podium
6,baku,TRUE,FALSE,FALSE,FALSE,FALSE,sainz,spanish,ferrari,5,38,0,7,78,0,4,0.399999999999992,26,points
6,baku,TRUE,FALSE,FALSE,FALSE,FALSE,perez,mexican,red_bull,6,44,0,5,149,2,1,0.700000000000003,31,podium
6,baku,TRUE,FALSE,FALSE,FALSE,FALSE,tsunoda,japanese,alphatauri,7,2,0,14,18,0,6,1.0,21,points
6,baku,TRUE,FALSE,FALSE,FALSE,FALSE,alonso,spanish,alpine,8,5,0,13,17,0,7,1.09999999999999,39,points
6,baku,TRUE,FALSE,FALSE,FALSE,FALSE,norris,british,mclaren,9,56,0,3,80,0,3,0.5,21,points
6,baku,TRUE,FALSE,FALSE,FALSE,FALSE,bottas,finnish,mercedes,10,47,0,4,148,3,2,1.5,31,no_points
6,baku,TRUE,FALSE,FALSE,FALSE,FALSE,vettel,german,aston_martin,11,10,0,11,19,0,5,1.0,33,podium
6,baku,TRUE,FALSE,FALSE,FALSE,FALSE,ocon,french,alpine,12,12,0,10,17,0,7,1.09999999999999,24,no_points
6,baku,TRUE,FALSE,FALSE,FALSE,FALSE,ricciardo,australian,mclaren,13,24,0,8,80,0,3,1.39999999999999,31,points
6,baku,TRUE,FALSE,FALSE,FALSE,FALSE,raikkonen,finnish,alfa_romeo,14,0,0,16,1,0,8,1.39999999999999,41,points
6,baku,TRUE,FALSE,FALSE,FALSE,FALSE,russell,british,williams,15,0,0,17,0,0,9,1.59999999999999,23,no_points
6,baku,TRUE,FALSE,FALSE,FALSE,FALSE,latifi,canadian,williams,16,0,0,18,0,0,9,1.89999999999999,25,no_points
6,baku,TRUE,FALSE,FALSE,FALSE,FALSE,mick_schumacher,german,haas,17,0,0,19,0,0,10,3.0,22,no_points
6,baku,TRUE,FALSE,FALSE,FALSE,FALSE,mazepin,russian,haas,18,0,0,20,0,0,10,3.0,22,no_points

7,ricard,FALSE,FALSE,FALSE,FALSE,FALSE,verstappen,dutch,red_bull,1,105,2,1,174,3,1,0.0,23,podium
7,ricard,FALSE,FALSE,FALSE,FALSE,FALSE,hamilton,british,mercedes,2,101,3,2,148,3,2,0.200000000000003,36,podium
7,ricard,FALSE,FALSE,FALSE,FALSE,FALSE,bottas,finnish,mercedes,3,47,0,6,148,3,2,0.400000000000006,31,points
7,ricard,FALSE,FALSE,FALSE,FALSE,FALSE,perez,mexican,red_bull,4,69,1,3,174,3,1,0.400000000000006,31,podium
7,ricard,FALSE,FALSE,FALSE,FALSE,FALSE,sainz,spanish,ferrari,5,42,0,7,94,0,3,0.799999999999997,26,no_points
7,ricard,FALSE,FALSE,FALSE,FALSE,FALSE,gasly,french,alphatauri,6,31,0,8,39,0,5,0.900000000000006,25,points
7,ricard,FALSE,FALSE,FALSE,FALSE,FALSE,leclerc,monegasque,ferrari,7,52,0,5,94,0,3,1.0,23,no_points
7,ricard,FALSE,FALSE,FALSE,FALSE,FALSE,norris,british,mclaren,8,66,0,4,92,0,4,1.3,21,points
7,ricard,FALSE,FALSE,FALSE,FALSE,FALSE,alonso,spanish,alpine,9,13,0,11,25,0,7,1.3,39,points
7,ricard,FALSE,FALSE,FALSE,FALSE,FALSE,ricciardo,australian,mclaren,10,26,0,10,92,0,4,1.40000000000001,31,points
7,ricard,FALSE,FALSE,FALSE,FALSE,FALSE,ocon,french,alpine,11,12,0,12,25,0,7,1.7,24,no_points
7,ricard,FALSE,FALSE,FALSE,FALSE,FALSE,vettel,german,aston_martin,12,28,0,9,37,0,6,1.8,33,points
7,ricard,FALSE,FALSE,FALSE,FALSE,FALSE,giovinazzi,italian,alfa_romeo,13,1,0,16,2,0,8,1.8,27,no_points
